education,hours-per-week,sex,age,race,workclass,Major_Group,Age_Group
Some-college,50,Male,44,White,Private,Business,36–45
Masters,48,Male,32,White,Local-gov,Health,26–35
Bachelors,50,Female,25,White,Private,Business,18–25
HS-grad,27,Male,41,White,Self-emp-not-inc,Other,36–45
HS-grad,30,Female,18,White,Private,Other,18–25
Some-college,45,Male,57,White,Private,Engineering,56–65
Bachelors,50,Male,62,White,Private,Business,56–65
Bachelors,40,Male,29,White,Private,Other,26–35
HS-grad,40,Female,19,Black,Private,Other,18–25
Prof-school,65,Male,35,White,Self-emp-not-inc,Law & Public Policy,26–35
Bachelors,50,Male,52,White,Private,Health,46–55
Less than HS,40,Female,28,White,Private,Other,26–35
HS-grad,40,Male,38,White,Private,Other,36–45
Some-college,40,Female,42,Black,Private,Business,36–45
Bachelors,40,Male,41,Black,Private,Health,36–45
Bachelors,38,Male,23,White,Private,Health,18–25
Masters,76,Male,31,White,Private,Other,26–35
Less than HS,45,Male,31,White,Private,Other,26–35
Masters,40,Male,46,White,Private,Health,46–55
Less than HS,20,Female,18,White,Private,Other,18–25
Masters,38,Male,57,White,Self-emp-not-inc,Other,56–65
Assoc-voc,38,Female,25,White,Private,Industrial Arts & Consumer Services,18–25
Masters,40,Male,32,White,Private,Other,26–35
Less than HS,40,Male,27,White,Private,Other,26–35
Bachelors,45,Male,46,White,Federal-gov,Health,46–55
HS-grad,40,Male,43,White,State-gov,Other,36–45
Bachelors,40,Female,56,White,Self-emp-not-inc,Health,56–65
HS-grad,40,Female,19,White,Private,Other,18–25
HS-grad,40,Female,20,White,Federal-gov,Other,18–25
Some-college,45,Male,42,White,Private,Other,36–45
HS-grad,99,Male,90,White,Private,Other,66+
Less than HS,35,Male,25,Black,Private,Other,18–25
HS-grad,40,Female,27,Black,Private,Other,26–35
HS-grad,44,Male,48,White,Private,Other,46–55
Some-college,40,Male,48,Black,Federal-gov,Business,46–55
HS-grad,48,Male,27,White,Private,Other,26–35
Bachelors,38,Female,46,White,Private,Engineering,46–55
Less than HS,40,Male,32,White,Private,Other,26–35
Assoc-voc,40,Male,22,White,Private,Industrial Arts & Consumer Services,18–25
Bachelors,40,Female,24,White,Private,Health,18–25
HS-grad,65,Male,31,White,Private,Other,26–35
Some-college,18,Female,20,White,Private,Health,18–25
Prof-school,40,Male,28,White,Self-emp-not-inc,Law & Public Policy,26–35
HS-grad,60,Male,40,White,Self-emp-inc,Other,36–45
HS-grad,40,Male,39,White,Private,Other,36–45
HS-grad,40,Male,54,White,Local-gov,Other,46–55
Some-college,42,Male,59,White,Local-gov,Business,56–65
Less than HS,18,Female,17,White,Private,Other,NA
Some-college,80,Male,25,White,Self-emp-not-inc,Engineering,18–25
HS-grad,40,Male,49,White,Local-gov,Other,46–55
HS-grad,60,Male,55,White,Self-emp-not-inc,Other,46–55
HS-grad,40,Male,39,White,Private,Other,36–45
Some-college,16,Female,67,White,Private,Health,66+
HS-grad,40,Male,28,White,Private,Other,26–35
Less than HS,40,Male,35,White,Private,Other,26–35
HS-grad,48,Male,44,White,Private,Other,36–45
Masters,47,Male,51,White,Private,Health,46–55
Bachelors,40,Male,55,Asian-Pac-Islander,Private,Other,46–55
HS-grad,78,Male,45,White,Local-gov,Other,36–45
HS-grad,48,Male,32,White,Private,Other,26–35
Some-college,40,Female,45,White,Private,Business,36–45
Masters,60,Male,45,White,Private,Other,36–45
Bachelors,40,Male,35,White,Private,Business,26–35
HS-grad,44,Male,55,White,Local-gov,Other,46–55
Some-college,40,Male,59,White,Private,Engineering,56–65
HS-grad,55,Female,22,White,Private,Other,18–25
Masters,35,Female,46,Black,Local-gov,Other,46–55
HS-grad,40,Male,23,White,Private,Other,18–25
Bachelors,45,Male,47,White,Private,Business,46–55
HS-grad,30,Male,34,White,Private,Other,26–35
Less than HS,40,Male,51,White,Private,Other,46–55
Assoc-voc,50,Male,40,White,Private,Industrial Arts & Consumer Services,36–45
Some-college,12,Male,24,White,State-gov,Business,18–25
Some-college,72,Male,20,White,Private,Other,18–25
Some-college,50,Male,44,White,Private,Other,36–45
HS-grad,40,Male,26,White,Private,Other,26–35
HS-grad,38,Female,35,White,Local-gov,Other,26–35
Some-college,40,Male,23,Asian-Pac-Islander,Private,Other,18–25
HS-grad,50,Male,40,White,Private,Other,36–45
HS-grad,40,Male,49,White,Local-gov,Other,46–55
HS-grad,45,Male,32,White,Private,Other,26–35
Assoc-voc,40,Female,28,White,Private,Industrial Arts & Consumer Services,26–35
Masters,60,Male,51,White,Private,Other,46–55
Assoc-voc,50,Male,62,White,Private,Industrial Arts & Consumer Services,56–65
Some-college,40,Male,31,White,Private,Other,26–35
Assoc-acdm,40,Male,47,White,Local-gov,Industrial Arts & Consumer Services,46–55
Assoc-voc,3,Female,36,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,40,Male,44,White,State-gov,Other,36–45
Bachelors,40,Male,46,White,Private,Business,46–55
HS-grad,40,Male,32,White,Private,Other,26–35
Assoc-acdm,30,Female,51,Black,Self-emp-not-inc,Industrial Arts & Consumer Services,46–55
Bachelors,45,Male,48,White,Private,Business,46–55
Bachelors,40,Female,28,Black,Private,Other,26–35
Some-college,60,Male,57,White,Self-emp-inc,Engineering,56–65
Assoc-voc,40,Male,33,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,15,Male,42,White,Private,Other,36–45
Less than HS,40,Male,17,White,Private,Other,NA
Bachelors,55,Male,31,White,Self-emp-inc,Business,26–35
Some-college,40,Male,35,White,Private,Other,26–35
HS-grad,40,Male,20,White,Private,Other,18–25
HS-grad,40,Female,36,White,Private,Other,36–45
Some-college,24,Female,24,White,Private,Business,18–25
Some-college,50,Male,33,Black,Private,Other,26–35
Some-college,40,Male,36,White,Private,Business,36–45
Bachelors,40,Female,31,White,Private,Business,26–35
Assoc-acdm,40,Female,29,White,Private,Industrial Arts & Consumer Services,26–35
Bachelors,60,Male,47,White,Private,Business,46–55
Doctorate,75,Male,30,White,Private,Other,26–35
HS-grad,50,Male,34,White,Private,Other,26–35
HS-grad,40,Female,23,White,Private,Other,18–25
Assoc-voc,40,Male,33,White,Private,Industrial Arts & Consumer Services,26–35
Less than HS,40,Female,59,White,Private,Other,56–65
Bachelors,40,Male,67,White,Self-emp-not-inc,Health,66+
HS-grad,40,Male,26,White,Private,Other,26–35
HS-grad,40,Male,27,Asian-Pac-Islander,Private,Other,26–35
Bachelors,39,Male,24,White,Private,Business,18–25
Assoc-voc,40,Male,44,White,Federal-gov,Industrial Arts & Consumer Services,36–45
HS-grad,40,Male,31,White,Private,Other,26–35
Prof-school,60,Male,28,White,Private,Law & Public Policy,26–35
HS-grad,20,Female,19,White,Private,Other,18–25
Bachelors,40,Female,31,White,Self-emp-not-inc,Business,26–35
HS-grad,40,Female,20,White,Private,Other,18–25
HS-grad,15,Female,64,White,Private,Other,56–65
HS-grad,40,Female,47,White,State-gov,Other,46–55
Some-college,35,Female,36,White,Private,Business,36–45
HS-grad,44,Male,48,White,Private,Other,46–55
Some-college,40,Female,19,White,Self-emp-not-inc,Other,18–25
HS-grad,35,Female,22,Black,Private,Other,18–25
Less than HS,40,Male,56,White,Private,Other,56–65
Some-college,50,Male,22,White,Private,Business,18–25
Bachelors,99,Male,37,White,Private,Health,36–45
Bachelors,35,Female,57,White,Local-gov,Health,56–65
Assoc-acdm,50,Male,38,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,40,Female,34,Black,Private,Other,26–35
Some-college,40,Female,38,White,Federal-gov,Business,36–45
Some-college,40,Male,30,Asian-Pac-Islander,Self-emp-inc,Business,26–35
Bachelors,45,Male,32,White,Private,Health,26–35
Less than HS,40,Female,29,Black,Private,Other,26–35
HS-grad,40,Male,56,White,Private,Other,56–65
Assoc-voc,35,Female,42,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,33,Female,71,White,Local-gov,Other,66+
Less than HS,40,Male,20,White,Private,Other,18–25
HS-grad,36,Male,25,White,Private,Other,18–25
Some-college,50,Male,61,White,Private,Health,56–65
Bachelors,40,Female,24,White,State-gov,Business,18–25
Less than HS,40,Female,51,Black,Private,Other,46–55
HS-grad,40,Male,27,White,Private,Other,26–35
Some-college,40,Female,41,White,Private,Business,36–45
HS-grad,40,Male,31,White,Private,Other,26–35
HS-grad,16,Female,39,Black,Private,Other,36–45
Prof-school,40,Male,51,White,Self-emp-not-inc,Law & Public Policy,46–55
HS-grad,40,Female,52,White,Private,Other,46–55
Bachelors,40,Male,49,White,Private,Health,46–55
Some-college,40,Male,43,White,Private,Engineering,36–45
Bachelors,60,Male,45,White,Private,Business,36–45
HS-grad,40,Male,49,White,Private,Other,46–55
HS-grad,40,Female,19,White,Private,Other,18–25
HS-grad,40,Male,44,White,Self-emp-not-inc,Other,36–45
HS-grad,40,Male,67,White,Self-emp-inc,Other,66+
Prof-school,45,Male,58,White,Private,Law & Public Policy,56–65
Bachelors,40,Male,36,White,Private,Health,36–45
HS-grad,16,Female,67,White,Private,Other,66+
Doctorate,40,Male,61,White,Private,Other,56–65
Less than HS,40,Female,55,Black,Local-gov,Other,46–55
HS-grad,40,Male,35,White,Federal-gov,Other,26–35
Less than HS,38,Female,35,Black,Private,Other,26–35
Some-college,10,Female,20,White,State-gov,Business,18–25
HS-grad,40,Female,51,Black,Private,Other,46–55
Bachelors,40,Male,23,White,Private,Health,18–25
HS-grad,24,Male,39,White,Private,Other,36–45
Some-college,40,Female,36,White,Private,Other,36–45
HS-grad,45,Male,47,White,Private,Other,46–55
Bachelors,80,Male,27,White,Private,Business,26–35
HS-grad,40,Male,29,White,Private,Other,26–35
Some-college,40,Male,21,White,State-gov,Business,18–25
Some-college,20,Female,18,White,Private,Business,18–25
Some-college,20,Male,24,White,Private,Business,18–25
HS-grad,40,Male,39,White,Federal-gov,Other,36–45
Some-college,40,Male,51,White,State-gov,Business,46–55
Bachelors,40,Male,47,White,Private,Engineering,46–55
Some-college,30,Female,62,White,Private,Business,56–65
Bachelors,40,Male,49,White,Private,Business,46–55
Less than HS,40,Male,20,White,Private,Other,18–25
Some-college,40,Male,24,White,Private,Business,18–25
HS-grad,40,Female,25,White,Private,Other,18–25
Bachelors,40,Male,54,White,Self-emp-not-inc,Business,46–55
HS-grad,40,Male,25,White,Private,Other,18–25
Some-college,55,Female,43,White,Private,Business,36–45
Bachelors,38,Male,26,White,Private,Business,26–35
HS-grad,40,Male,24,White,Private,Other,18–25
Less than HS,20,Male,18,Amer-Indian-Eskimo,Private,Other,18–25
HS-grad,25,Male,45,White,Self-emp-not-inc,Other,36–45
Bachelors,40,Male,26,White,Private,Business,26–35
Some-college,40,Male,47,White,Private,Other,46–55
HS-grad,40,Male,21,Black,Without-pay,Other,18–25
HS-grad,99,Female,29,White,Private,Other,26–35
Some-college,15,Male,68,White,Private,Health,66+
Some-college,48,Male,21,Black,Private,Business,18–25
Some-college,30,Male,28,White,Self-emp-inc,Business,26–35
HS-grad,40,Female,46,White,Private,Other,46–55
HS-grad,48,Female,35,Black,Private,Other,26–35
Less than HS,25,Male,50,White,Self-emp-not-inc,Other,46–55
Some-college,40,Male,48,White,Self-emp-inc,Business,46–55
Bachelors,50,Male,59,White,Private,Engineering,56–65
Some-college,40,Male,23,Black,Private,Business,18–25
HS-grad,30,Female,53,White,Private,Other,46–55
Masters,40,Male,50,White,Self-emp-inc,Other,46–55
Less than HS,56,Male,53,Other,Private,Other,46–55
HS-grad,48,Male,52,Black,Private,Other,46–55
Bachelors,50,Male,38,White,Private,Health,36–45
Masters,50,Male,43,White,Private,Other,36–45
Bachelors,32,Female,35,White,Private,Other,26–35
Prof-school,50,Male,41,White,Private,Law & Public Policy,36–45
Some-college,40,Male,22,White,Private,Business,18–25
HS-grad,60,Male,39,White,Private,Other,36–45
Masters,40,Male,45,White,Private,Other,36–45
Less than HS,42,Female,31,White,Private,Other,26–35
Bachelors,40,Male,40,White,Private,Health,36–45
Less than HS,20,Male,47,White,Self-emp-not-inc,Other,46–55
HS-grad,40,Male,53,Black,Private,Other,46–55
Bachelors,60,Male,53,White,Self-emp-inc,Business,46–55
Bachelors,52,Male,33,Black,Local-gov,Engineering,26–35
Bachelors,20,Female,24,White,Private,Business,18–25
Some-college,40,Female,34,White,Private,Other,26–35
HS-grad,50,Male,46,White,Self-emp-inc,Other,46–55
Some-college,60,Male,29,White,Federal-gov,Business,26–35
Less than HS,32,Female,61,White,State-gov,Other,56–65
HS-grad,40,Male,31,White,Private,Other,26–35
HS-grad,40,Male,29,Black,Private,Other,26–35
HS-grad,40,Male,42,White,Private,Other,36–45
Some-college,40,Male,50,White,Federal-gov,Business,46–55
HS-grad,40,Female,34,White,Private,Other,26–35
Less than HS,40,Male,39,White,Private,Other,36–45
Less than HS,20,Male,74,Black,Private,Other,66+
Some-college,40,Male,40,White,Private,Business,36–45
Prof-school,50,Male,75,White,Self-emp-not-inc,Law & Public Policy,66+
Bachelors,40,Female,40,White,Local-gov,Health,36–45
Less than HS,40,Male,36,White,Private,Other,36–45
Bachelors,40,Female,28,White,Private,Business,26–35
Some-college,18,Female,19,White,Private,Business,18–25
Assoc-acdm,32,Female,36,Black,Private,Industrial Arts & Consumer Services,36–45
Some-college,40,Female,50,White,Federal-gov,Business,46–55
Assoc-acdm,40,Female,47,Black,Private,Industrial Arts & Consumer Services,46–55
HS-grad,33,Female,48,Black,Private,Other,46–55
HS-grad,40,Male,60,White,Self-emp-inc,Other,56–65
Masters,30,Male,30,Black,Private,Health,26–35
Bachelors,50,Male,32,White,Private,Business,26–35
Masters,35,Female,45,White,Local-gov,Health,36–45
Some-college,40,Male,51,White,Private,Engineering,46–55
Less than HS,75,Male,53,Black,Private,Other,46–55
Masters,40,Male,48,White,Self-emp-not-inc,Other,46–55
Assoc-acdm,50,Female,32,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,40,Female,31,Black,Private,Other,26–35
Bachelors,20,Female,58,White,Self-emp-not-inc,Other,56–65
Assoc-acdm,60,Male,32,White,Private,Industrial Arts & Consumer Services,26–35
Bachelors,40,Male,32,White,Private,Health,26–35
Bachelors,80,Male,40,White,Private,Business,36–45
Bachelors,55,Male,50,White,Private,Business,46–55
Less than HS,40,Male,38,White,Self-emp-not-inc,Other,36–45
HS-grad,40,Male,30,White,Private,Other,26–35
HS-grad,40,Female,21,White,Private,Other,18–25
Bachelors,40,Female,28,White,Private,Health,26–35
Assoc-acdm,36,Female,32,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,45,Male,25,White,Private,Other,18–25
Some-college,40,Male,59,White,Private,Engineering,56–65
Some-college,40,Male,49,White,Private,Engineering,46–55
Bachelors,40,Male,36,White,Private,Business,36–45
Some-college,30,Female,46,White,Private,Other,46–55
Prof-school,60,Male,37,White,Local-gov,Law & Public Policy,36–45
Bachelors,40,Male,48,Black,Private,Business,46–55
Some-college,44,Male,43,White,Private,Other,36–45
HS-grad,40,Male,41,White,Private,Other,36–45
HS-grad,40,Male,54,White,Private,Other,46–55
Some-college,4,Female,36,White,Private,Business,36–45
Bachelors,40,Female,29,Other,Private,Other,26–35
HS-grad,40,Male,66,White,Local-gov,Other,66+
Prof-school,50,Male,59,White,Private,Law & Public Policy,56–65
Bachelors,40,Male,62,White,Private,Business,56–65
Less than HS,40,Male,29,White,Private,Other,26–35
Bachelors,45,Male,28,White,Private,Business,26–35
Bachelors,60,Male,27,White,Private,Other,26–35
HS-grad,40,Male,42,White,State-gov,Other,36–45
Assoc-voc,46,Male,60,White,Private,Industrial Arts & Consumer Services,56–65
Masters,50,Male,58,White,Private,Health,56–65
Some-college,40,Male,27,White,Private,Engineering,26–35
HS-grad,40,Female,45,White,Private,Other,36–45
Some-college,40,Male,50,White,Private,Engineering,46–55
Some-college,40,Male,43,Black,Private,Engineering,36–45
Prof-school,50,Male,39,White,Private,Law & Public Policy,36–45
Some-college,20,Male,21,White,Private,Business,18–25
HS-grad,70,Male,24,Black,Private,Other,18–25
Prof-school,30,Male,59,White,Self-emp-not-inc,Law & Public Policy,56–65
HS-grad,40,Male,36,White,Private,Other,36–45
Masters,65,Male,35,Asian-Pac-Islander,Private,Other,26–35
Some-college,40,Male,33,White,Private,Other,26–35
HS-grad,45,Female,30,Black,Private,Other,26–35
Assoc-voc,50,Male,40,White,Private,Industrial Arts & Consumer Services,36–45
Some-college,55,Male,26,White,Self-emp-not-inc,Business,26–35
Assoc-voc,40,Male,37,Black,Federal-gov,Industrial Arts & Consumer Services,36–45
Some-college,20,Female,68,White,Self-emp-not-inc,Other,66+
Bachelors,72,Male,45,White,Private,Engineering,36–45
HS-grad,40,Male,56,White,Private,Other,56–65
HS-grad,40,Female,36,White,Private,Other,36–45
Bachelors,50,Male,50,White,Private,Business,46–55
Assoc-voc,40,Male,38,White,Private,Industrial Arts & Consumer Services,36–45
Bachelors,41,Male,29,White,Private,Business,26–35
HS-grad,28,Female,28,White,Private,Other,26–35
Some-college,50,Male,39,White,Federal-gov,Business,36–45
Bachelors,40,Male,26,White,Local-gov,Business,26–35
Some-college,65,Male,52,White,Self-emp-inc,Business,46–55
Bachelors,40,Male,52,White,Private,Other,46–55
HS-grad,13,Female,84,White,Private,Other,66+
Some-college,10,Female,33,White,Federal-gov,Other,26–35
Prof-school,50,Male,46,White,Federal-gov,Law & Public Policy,46–55
HS-grad,35,Female,30,White,Private,Other,26–35
Bachelors,40,Male,38,White,Private,Health,36–45
HS-grad,8,Female,66,White,Private,Other,66+
Masters,40,Male,62,White,Federal-gov,Other,56–65
Bachelors,40,Male,31,Black,Private,Business,26–35
Bachelors,40,Male,31,White,Private,Engineering,26–35
HS-grad,40,Male,39,White,Private,Other,36–45
Bachelors,40,Female,27,White,Private,Engineering,26–35
Some-college,40,Female,38,White,Private,Business,36–45
HS-grad,40,Male,25,White,Private,Other,18–25
HS-grad,40,Female,48,White,Private,Other,46–55
Masters,50,Male,45,White,Local-gov,Health,36–45
Some-college,40,Male,22,White,Private,Business,18–25
HS-grad,40,Male,50,White,Private,Other,46–55
HS-grad,40,Male,21,White,Private,Other,18–25
Some-college,40,Female,44,White,Local-gov,Business,36–45
HS-grad,50,Male,60,Black,Self-emp-not-inc,Other,56–65
HS-grad,48,Male,51,White,Private,Other,46–55
HS-grad,40,Male,30,White,Private,Other,26–35
Assoc-acdm,40,Male,46,White,Self-emp-not-inc,Industrial Arts & Consumer Services,46–55
Assoc-voc,45,Male,43,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,48,Male,57,Black,Private,Other,56–65
Masters,40,Male,48,White,Private,Health,46–55
HS-grad,40,Male,68,White,Self-emp-not-inc,Other,66+
Some-college,24,Male,33,White,Private,Other,26–35
HS-grad,40,Male,22,White,Without-pay,Other,18–25
HS-grad,50,Male,28,White,Private,Other,26–35
Masters,40,Male,32,Asian-Pac-Islander,Private,Health,26–35
HS-grad,42,Male,56,White,Private,Other,56–65
HS-grad,50,Male,36,White,Private,Other,36–45
Some-college,55,Male,34,White,Private,Business,26–35
HS-grad,40,Female,18,White,Private,Other,18–25
Less than HS,40,Male,39,Black,Private,Other,36–45
Bachelors,40,Female,25,White,Private,Business,18–25
Some-college,35,Male,27,White,Self-emp-not-inc,Engineering,26–35
Masters,60,Male,56,White,Self-emp-not-inc,Other,56–65
HS-grad,40,Male,33,White,Self-emp-not-inc,Other,26–35
Doctorate,60,Male,49,Black,Self-emp-inc,Other,46–55
HS-grad,84,Male,44,White,Self-emp-not-inc,Other,36–45
Less than HS,45,Male,30,White,Self-emp-not-inc,Other,26–35
HS-grad,50,Male,27,White,Private,Other,26–35
Bachelors,40,Male,25,White,Private,Business,18–25
Bachelors,40,Male,30,White,Self-emp-inc,Business,26–35
Assoc-acdm,40,Male,38,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,40,Male,38,White,Private,Other,36–45
Some-college,40,Female,46,White,Private,Business,46–55
HS-grad,20,Female,37,White,Private,Other,36–45
HS-grad,40,Male,62,White,Private,Other,56–65
HS-grad,40,Male,55,White,Self-emp-not-inc,Other,46–55
HS-grad,40,Male,47,White,Self-emp-not-inc,Other,46–55
HS-grad,14,Female,45,White,Private,Other,36–45
HS-grad,40,Male,50,White,Private,Other,46–55
HS-grad,40,Male,36,White,Private,Other,36–45
HS-grad,20,Female,45,White,Private,Other,36–45
HS-grad,38,Male,23,White,Private,Other,18–25
Assoc-acdm,50,Male,37,White,Private,Industrial Arts & Consumer Services,36–45
Doctorate,55,Male,38,White,State-gov,Other,36–45
Some-college,40,Male,27,Black,Private,Other,26–35
Bachelors,50,Female,29,White,Private,Business,26–35
Masters,40,Female,45,White,Local-gov,Health,36–45
HS-grad,55,Male,41,White,Self-emp-inc,Other,36–45
Some-college,20,Female,38,White,Self-emp-not-inc,Other,36–45
Bachelors,40,Male,27,White,Private,Health,26–35
HS-grad,40,Male,44,White,Federal-gov,Other,36–45
Masters,40,Male,33,Black,Federal-gov,Other,26–35
HS-grad,40,Male,28,Black,Self-emp-inc,Other,26–35
Bachelors,45,Male,32,White,Private,Business,26–35
Masters,55,Male,43,White,Private,Health,36–45
HS-grad,40,Female,45,Black,Local-gov,Other,36–45
Assoc-acdm,40,Male,52,White,Federal-gov,Industrial Arts & Consumer Services,46–55
HS-grad,35,Male,24,White,Private,Other,18–25
Assoc-voc,40,Male,47,White,Private,Industrial Arts & Consumer Services,46–55
Doctorate,50,Male,53,White,Self-emp-inc,Other,46–55
Bachelors,40,Male,31,White,Private,Business,26–35
Assoc-voc,40,Male,30,White,Private,Industrial Arts & Consumer Services,26–35
HS-grad,40,Male,56,White,Private,Other,56–65
Bachelors,40,Male,49,White,Federal-gov,Health,46–55
HS-grad,40,Male,38,White,Private,Other,36–45
Some-college,18,Male,19,White,Private,Business,18–25
Assoc-voc,40,Male,39,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,40,Male,38,White,Private,Other,36–45
HS-grad,55,Male,47,White,Private,Other,46–55
Less than HS,40,Male,58,White,Private,Other,56–65
HS-grad,40,Male,27,Black,Private,Other,26–35
Masters,40,Male,59,White,Local-gov,Health,56–65
Bachelors,47,Male,24,White,Private,Business,18–25
Assoc-voc,40,Male,42,White,Private,Industrial Arts & Consumer Services,36–45
Masters,60,Male,53,White,State-gov,Other,46–55
HS-grad,50,Male,35,White,Private,Other,26–35
HS-grad,40,Female,36,Asian-Pac-Islander,Local-gov,Other,36–45
HS-grad,40,Male,26,White,Private,Other,26–35
Less than HS,48,Male,33,White,Private,Other,26–35
Some-college,40,Male,29,White,Private,Health,26–35
Less than HS,40,Male,43,White,Private,Other,36–45
Bachelors,50,Male,35,White,Private,Business,26–35
Bachelors,36,Female,48,Asian-Pac-Islander,Private,Health,46–55
Masters,40,Female,45,White,Local-gov,Health,36–45
HS-grad,40,Female,43,White,Private,Other,36–45
Less than HS,30,Male,27,White,Private,Other,26–35
Less than HS,40,Male,21,White,Private,Other,18–25
Some-college,40,Male,39,White,Private,Business,36–45
Bachelors,55,Male,52,White,Self-emp-not-inc,Business,46–55
Bachelors,40,Female,41,White,Self-emp-inc,Health,36–45
HS-grad,70,Male,48,White,Private,Other,46–55
HS-grad,40,Male,53,White,State-gov,Other,46–55
Assoc-acdm,50,Male,33,White,Local-gov,Industrial Arts & Consumer Services,26–35
Less than HS,35,Male,37,White,Private,Other,36–45
Doctorate,24,Female,43,Black,Federal-gov,Other,36–45
Some-college,40,Female,20,White,Private,Business,18–25
Prof-school,50,Male,47,White,Private,Law & Public Policy,46–55
HS-grad,70,Male,36,White,Self-emp-not-inc,Other,36–45
HS-grad,45,Male,41,White,Private,Other,36–45
Less than HS,40,Male,67,White,Private,Other,66+
Bachelors,40,Male,38,Black,Private,Engineering,36–45
Masters,25,Male,47,Black,Self-emp-not-inc,Other,46–55
Assoc-voc,40,Male,39,White,Private,Industrial Arts & Consumer Services,36–45
HS-grad,35,Male,36,Black,Private,Other,36–45
Some-college,40,Male,24,Black,Private,Business,18–25
HS-grad,84,Male,50,White,Self-emp-not-inc,Other,46–55
HS-grad,30,Female,21,White,Private,Other,18–25
Less than HS,50,Female,21,White,Private,Other,18–25
HS-grad,40,Male,40,White,Private,Other,36–45
Some-college,25,Female,19,White,Private,Business,18–25
HS-grad,40,Female,38,White,Private,Other,36–45
Assoc-voc,50,Male,34,White,Private,Industrial Arts & Consumer Services,26–35
Some-college,50,Male,44,White,Local-gov,Business,36–45
Assoc-acdm,25,Female,20,White,Private,Industrial Arts & Consumer Services,18–25
HS-grad,55,Male,44,White,Private,Other,36–45
HS-grad,10,Female,49,White,Local-gov,Other,46–55
Assoc-acdm,50,Male,45,White,Self-emp-inc,Industrial Arts & Consumer Services,36–45
HS-grad,40,Male,24,White,Private,Other,18–25
HS-grad,40,Male,34,White,Private,Other,26–35
HS-grad,72,Male,58,White,Self-emp-not-inc,Other,56–65
HS-grad,45,Male,39,White,Private,Other,36–45
HS-grad,40,Male,22,White,Private,Other,18–25
Bachelors,32,Female,38,White,Private,Health,36–45
Prof-school,50,Male,32,White,Federal-gov,Law & Public Policy,26–35
HS-grad,48,Male,45,White,State-gov,Other,36–45
HS-grad,45,Male,23,Black,Private,Other,18–25
Assoc-acdm,45,Male,35,White,Private,Industrial Arts & Consumer Services,26–35
Some-college,45,Male,52,White,Private,Engineering,46–55
Some-college,40,Male,55,White,Private,Engineering,46–55
HS-grad,40,Male,23,White,Private,Other,18–25
Bachelors,25,Female,22,Amer-Indian-Eskimo,Private,Business,18–25
HS-grad,40,Male,27,White,Private,Other,26–35
Assoc-acdm,15,Female,24,White,Private,Industrial Arts & Consumer Services,18–25
Some-college,40,Male,21,White,Private,Engineering,18–25
Bachelors,35,Female,49,White,Private,Business,46–55
Less than HS,40,Male,32,White,Private,Other,26–35
Some-college,24,Female,64,White,Private,Other,56–65
HS-grad,50,Male,37,White,Self-emp-not-inc,Other,36–45
Less than HS,40,Male,61,White,Private,Other,56–65
HS-grad,40,Female,44,White,Private,Other,36–45
HS-grad,52,Male,53,White,Private,Other,46–55
Masters,50,Male,43,White,Private,Health,36–45
Doctorate,40,Male,60,White,State-gov,Other,56–65
Some-college,40,Female,23,White,Private,Business,18–25
Masters,40,Male,25,White,Private,Other,18–25
HS-grad,40,Female,29,White,Private,Other,26–35
Bachelors,55,Female,51,White,Private,Health,46–55
Less than HS,12,Male,47,White,Private,Other,46–55
HS-grad,40,Female,20,White,Private,Other,18–25
Less than HS,40,Male,25,White,Private,Other,18–25
Less than HS,40,Male,27,White,Private,Other,26–35
HS-grad,40,Female,23,White,Private,Other,18–25
HS-grad,27,Female,18,White,Private,Other,18–25
Less than HS,32,Male,23,White,Private,Other,18–25
HS-grad,60,Male,59,White,Self-emp-not-inc,Other,56–65
HS-grad,37,Female,46,White,Private,Other,46–55
Masters,38,Male,46,Black,Local-gov,Health,46–55
Less than HS,23,Female,36,White,Local-gov,Other,36–45
HS-grad,40,Female,44,White,Private,Other,36–45
Less than HS,20,Male,17,White,Private,Other,NA
Some-college,45,Male,27,White,Private,Business,26–35
Some-college,40,Male,32,White,Private,Business,26–35
HS-grad,40,Male,53,Black,Private,Other,46–55
Some-college,98,Male,22,White,Private,Health,18–25
Assoc-acdm,40,Female,30,White,Private,Industrial Arts & Consumer Services,26–35
Bachelors,30,Male,47,White,Self-emp-not-inc,Health,46–55
Some-college,40,Male,68,White,Self-emp-not-inc,Business,66+
HS-grad,40,Male,39,White,Private,Other,36–45
Bachelors,40,Female,22,White,Private,Business,18–25
HS-grad,35,Female,20,White,Private,Other,18–25
HS-grad,38,Male,21,White,Private,Other,18–25
HS-grad,75,Male,30,White,Self-emp-not-inc,Other,26–35
Some-college,40,Female,25,White,Private,Business,18–25
HS-grad,21,Female,23,White,State-gov,Other,18–25
Bachelors,40,Male,40,White,State-gov,Health,36–45
